nh_name,walkability_score,avg_speed,restaurant_count,total_businesses,noise_complaints,ses_cluster,young_adult_share,elderly_share,event_frequency,cars_per_100_residents
לב תל-אביב,93.5800617477484,15.46096,635.0,4806.0,5270.0,6.0,0.34451907435587975,0.0972608490318518,12.12,39.2384207547587
הצפון הישן-החלק הדרומי,73.12082565816118,11.424706845238095,333.0,2211.0,2727.0,7.0,0.36494936990127924,0.10691045297273276,44.59375,38.8559492756208
הצפון הישן - החלק הצפוני,62.08361613510397,12.642260702260703,215.0,1662.0,1694.0,8.0,0.3274789716858193,0.10762942779291554,40.121212121212125,43.97620341512321
מונטיפיורי,48.00593974381235,13.179385620915033,138.0,3717.0,358.0,7.0,0.43453510436432635,0.05660974067046173,2.7254901960784315,45.7996612422796
פלורנטין,45.91130947968039,12.054361538461539,151.0,2050.0,2392.0,6.0,0.48288496769838973,0.0473435541413557,1.3,39.1462445191045
נוה שאנן,44.890754138315465,11.19163157894737,139.0,2256.0,1353.0,2.0,0.3467701965967289,0.07731703287625971,2.9210526315789473,26.3162027621391
צפון יפו,40.30139170390164,13.882859649122807,154.0,1624.0,1209.0,5.0,0.2920987427732403,0.0873634945397816,9.526315789473685,43.5256357797756
גני שרונה,37.208737659504735,13.135853658536586,162.0,1596.0,449.0,9.0,0.2570992948351439,0.12311797217457594,15.268292682926829,53.3983533202352
הצפון החדש-החלק הדרומי,36.005555515929046,12.363020408163266,78.0,997.0,583.0,8.0,0.2585465412930972,0.12624826882425833,25.979591836734695,46.146046468810994
נוה צדק,34.92306489279493,12.787732426303855,95.0,994.0,656.0,5.0,0.26184538653366585,0.12718204488778054,19.714285714285715,42.9579390478565
מכללת יפו תל אביב ודקר,31.850555078392144,16.134555555555558,19.0,251.0,485.0,2.0,0.26414805750994186,0.10538390945243194,19.095238095238095,37.3750546078858
"גבעת הרצל, אזור המלאכה-יפו",31.265959030154242,13.903588235294118,32.0,1631.0,628.0,5.0,0.336734693877551,0.05697278911564626,9.705882352941176,43.5256357797756
הצפון החדש-סביבת ככר המדינה,30.948987279862255,14.155711215613657,22.0,572.0,501.0,9.0,0.20149047750483023,0.13359094672922991,28.24390243902439,55.0503628331161
הצפון החדש - החלק הצפוני,28.910068562379948,13.227239858906525,30.0,317.0,453.0,8.0,0.26135389888603255,0.10120917833000095,16.40740740740741,51.2108644609975
שפירא,28.18066687295416,13.642444444444445,28.0,425.0,689.0,2.0,0.23489069867123874,0.10501500214316331,3.484848484848485,33.6008754556844
רמת-אביב,28.10003884748394,17.016648575305293,32.0,390.0,209.0,5.0,0.3790808525946578,0.0951524417663459,1.1940298507462686,41.5162043072449
יד אליהו,27.515193080406245,12.006807692307692,28.0,542.0,690.0,4.0,0.20270354840728455,0.1575192440077602,0.038461538461538464,41.6306589466363
התקוה,26.71111024179208,12.115915151515154,68.0,791.0,412.0,1.0,0.20902056607615557,0.16452860924455304,0.0,29.9798745383815
צהלון ושיכוני חסכון,23.995293514628873,14.529631578947368,24.0,272.0,256.0,2.0,0.23259892579195443,0.08845774416310424,1.0,42.3485697456322
יפו ג' ונוה גולן,22.762401479135942,13.53982251082251,1.0,54.0,760.0,1.0,0.21028793270786153,0.13506955677774182,6.2272727272727275,33.7567999672896
(יפו ד' (גבעת התמרים,22.461377245147894,14.976666666666665,1.0,72.0,166.0,1.0,0.2224015493867011,0.14315687540348612,11.142857142857142,30.8497621050775
בבלי,22.405919901917176,21.466333333333335,5.0,108.0,323.0,8.0,0.14322606277314262,0.14243146603098927,18.0,58.653229428136
נחלת יצחק,19.52553194033278,11.51525,26.0,778.0,256.0,7.0,0.20352297072125683,0.17364913115924777,0.0,54.0129073558013
עג'מי וגבעת עליה,19.16733616851283,17.102984848484848,32.0,246.0,203.0,2.0,0.1963866039952996,0.11471797884841363,1.0,44.5423092638545
ביצרון ורמת ישראל,18.48126951224076,15.225348484848485,34.0,757.0,453.0,6.0,0.20473827437169845,0.11269409316471907,0.11363636363636363,52.125733433871
"יפו העתיקה,נמל יפו",18.004848725308825,13.67459523809524,49.0,251.0,127.0,2.0,0.15602322206095792,0.15820029027576196,1.6,44.5423092638545
קרית שלום,17.83222314130262,16.103194805194807,6.0,141.0,314.0,2.0,0.1791671394530807,0.13060251900601386,2.4571428571428573,41.1933649721025
נוה אביבים וסביבתה,16.82263956990729,13.867541666666668,18.0,170.0,315.0,8.0,0.17608695652173914,0.17012882447665056,0.5,61.0432517770172
נוה שרת,16.681776747657672,12.275166666666667,8.0,76.0,277.0,5.0,0.19754305144236042,0.11955687177799715,1.0,47.7809249807365
תל-חיים,15.592729017804263,16.185259259259258,4.0,56.0,80.0,5.0,0.23349817243603527,0.18641152440335412,0.0,50.6976505078643
הדר-יוסף,13.106994065220865,17.08083950617284,9.0,117.0,399.0,6.0,0.17475052216291484,0.1358783940589464,1.4814814814814814,56.1110764608061
'רמת אביב ג,12.982311330383924,11.618111111111112,20.0,215.0,233.0,9.0,0.1400178470025148,0.22227630404802465,0.0,70.3443472025453
'נאות אפקה א,12.549264525990713,15.557083333333333,7.0,185.0,137.0,8.0,0.17810512219618346,0.1767659859390693,9.0,64.3842445607227
