nh_name,segments,mean_walkability,std_walkability,mean_speed
לב תל-אביב,50,93.5800617477484,5.220646374574028,15.46096
הצפון הישן-החלק הדרומי,64,73.12082565816118,6.72398697048245,11.424706845238095
הצפון הישן - החלק הצפוני,99,62.08361613510397,7.088619421190044,12.642260702260703
מונטיפיורי,51,48.00593974381235,3.7980594313727627,13.179385620915033
פלורנטין,20,45.91130947968039,0.9461979172801843,12.054361538461539
נוה שאנן,38,44.890754138315465,4.34140351899999,11.19163157894737
צפון יפו,57,40.30139170390164,4.367195336875735,13.882859649122807
גני שרונה,41,37.208737659504735,5.107637993439418,13.135853658536586
הצפון החדש-החלק הדרומי,49,36.005555515929046,4.539843582604845,12.363020408163266
נוה צדק,21,34.92306489279493,3.828144626053934,12.787732426303855
מכללת יפו תל אביב ודקר,42,31.850555078392144,5.9614876702674,16.134555555555558
"גבעת הרצל, אזור המלאכה-יפו",34,31.265959030154242,2.133246423759513,13.903588235294118
הצפון החדש-סביבת ככר המדינה,41,30.948987279862255,4.793919004746911,14.155711215613657
הצפון החדש - החלק הצפוני,27,28.910068562379948,2.2065328885777604,13.227239858906525
שפירא,66,28.18066687295416,2.3478280884594604,13.642444444444445
רמת-אביב,67,28.10003884748394,2.7430761058622357,17.016648575305293
יד אליהו,52,27.515193080406245,1.3871685429998581,12.006807692307692
התקוה,55,26.71111024179208,0.7798657476634453,12.115915151515154
צהלון ושיכוני חסכון,38,23.995293514628873,1.5000776148614439,14.529631578947368
יפו ג' ונוה גולן,22,22.762401479135942,5.644563013700908,13.53982251082251
(יפו ד' (גבעת התמרים,14,22.461377245147894,6.32922043833184,14.976666666666665
בבלי,2,22.405919901917176,0.5794783801915907,21.466333333333335
נחלת יצחק,24,19.52553194033278,1.2803378356023365,11.51525
עג'מי וגבעת עליה,22,19.16733616851283,0.723775495311523,17.102984848484848
ביצרון ורמת ישראל,44,18.48126951224076,1.9391008673703365,15.225348484848485
"יפו העתיקה,נמל יפו",10,18.004848725308825,2.3935468452772923,13.67459523809524
קרית שלום,35,17.83222314130262,1.6925327299090591,16.103194805194807
נוה אביבים וסביבתה,16,16.82263956990729,1.3782634111669454,13.867541666666668
נוה שרת,4,16.681776747657672,0.4976803795590697,12.275166666666667
תל-חיים,9,15.592729017804263,0.428578631452443,16.185259259259258
הדר-יוסף,27,13.106994065220865,1.4515010098740064,17.08083950617284
'רמת אביב ג,12,12.982311330383924,0.5733038264139584,11.618111111111112
'נאות אפקה א,16,12.549264525990713,3.2040558764131575,15.557083333333333
רמת הטייסים,10,10.763432376120623,1.1699890071988914,18.371066666666668
צמרות איילון,22,10.410616327173056,5.178377030893547,14.51733882783883
'נאות אפקה ב,18,10.270742592730722,4.061423508795872,16.662923280423282
רמת החייל,39,9.033484559612493,1.215924376171601,15.018102564102565
רביבים,18,4.876431262165533,1.353566938964369,15.85974074074074
נוה דן,2,2.9294515377871493,1.2663124655934348,17.905880952380954
